SMILES,pKa
COc1ccc2cncnc2c1,2.84
CCC(N)C(=O)OC,7.64
CNc1ncnc(NC)c1NC,5.96
Nc1nc(N)c2[nH]c(N)nc2n1,6.17
Cc1cccc2ncc3ccccc3c12,4.7
NC1CC1c1ccc(Cl)cc1,8.11
Cn1cc(C(N)=O)cnc1=N,9.08
NCCSCCO,9.265
CCc1ccc(C)nc1,6.51
CCCCCCCCCCCN,10.63
Sc1cccc2cccnc12,2.0149999999999997
C1CC[C@H]2NCCC[C@@H]2C1,11.29
CCc1cccc(N)c1,4.7
CCN1CCCCC1C,10.66
CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,7.19
COc1cccc2nc(=N)n(C)cc12,10.23
NNc1ccccc1C(=O)O,3.45
Cn1cc(Cl)cc(Cl)c1=N,10.14
Cc1nc2ccncc2n(C)c1=O,4.33
Nc1cnc(N)nc1,3.93
Cc1nc2c(N)nc(=N)n(C)c2nc1C,11.86
NNCCOc1ccccc1,6.8
COc1ccccc1CCN,10.2
COc1ccc(N)cc1[N+](=O)[O-],3.36
CNCCOC(c1ccccc1)c1ccccc1,9.12
CS(=O)c1ccncc1,2.94
NCCCNCCc1ccccn1,10.21
Nc1ncc([N+](=O)[O-])c(N)n1,2.58
Cc1nc2ccccc2cc1O,5.61
CC(C)NCC(O)c1ccccc1C(F)(F)F,9.31
Nc1c(Br)cccc1Br,0.168
CSc1cccnc1,4.42
CN(C)c1ccncn1,6.345000000000001
c1cc2nccnc2cn1,2.6799999999999997
ON=Cc1ccncc1,4.73
Clc1nccc2[nH]cnc12,2.2
CC(CN(C)C)C(C#N)(c1ccccc1)c1ccccc1,7.85
COc1ccc(Sc2cnc(N)nc2N)cc1,5.94
CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.35
CSc1ccnc2ccccc12,5.85
NC1CC1c1ccc(Br)cc1,8.13
CCN(CC)CCCNC(=O)c1cc(C)cc(C)c1C,9.673
O=[N+]([O-])c1ccc2ncncc2c1,4.16
Cc1cccc2cc3cccc(C)c3nc12,4.51
Cc1nc(N)nc(C)c1-c1cccc([N+](=O)[O-])c1,4.47
Nc1ncncc1Br,3.97
Nc1ccc(Cl)cc1N,3.83
CSc1ncc(N)c(N)n1,5.03
Cc1ccc(N)cc1C,5.234999999999999
CCOC(=O)N1CN=Cc2nccnc21,3.62
O=C(O)CN1CCOCC1,1.91
CC(=O)NN=C1CCN(C)CC1,7.45
CCOC(=O)[C@@H](N)C(C)C,7.75
Cc1ccc2c(C)[n+]([O-])cnc2c1,0.4
N=C(NO)c1ccccc1N,4.5
CCN1CC2=C(N=C1O)N(Cc1ccccc1)C(C)C(C)=N2,0.15
COc1ncc(-c2ccc(N(C)C)cc2)cn1,4.31
O=[N+]([O-])c1ccccc1-n1ccnc1,5.08
C[N+](C)(C)c1cccc(C(=O)O)c1,3.217
Clc1cnc2cncnc2n1,3.21
CCCNCCNCCNC(C)C,10.21
CC1=NCCS1,5.22
NCCCC([N+](=O)[O-])[N+](=O)[O-],3.93
COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)Cc1c[nH]cn1,7.88
Cc1ccc(N)cc1Br,4.04
COC(=O)C[C@@H](N)c1ccccc1,7.025
Oc1ccc2nnccc2c1,3.63
CCC1=NCC(C)S1,5.235333333333333
CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C,8.26
Nc1ncc(Br)cn1,1.95
Nc1ncc(-c2ccc(Cl)cc2)cn1,3.14
CCOC(=O)C[C@@H](N)c1ccccc1,7.12
c1ccc(CCNc2ncnc3[nH]ncc23)cc1,4.34
CC(C)NCCN,10.62
Cc1cnn(C)c1,2.48
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,10.13
Cc1cn(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cn1,4.84
NCCCCCC(=O)O,4.3715
Cn1c([N+](=O)[O-])cnc1N1CCCCC1,2.72
Cc1cc(-c2ccccc2)[nH]n1,2.92
C=CCc1c(C)nc(N)nc1C,5.1
NCc1ccc2c(c1)OCO2,9.37
CN(C)c1ccc2ccccc2c1,4.566
CN(C)c1cnccn1,3.24
CCSc1ncccn1,0.7
Cn1cc2ccccc2nc1=N,10.26
Nc1ccc(F)cc1,4.618333333333333
Cc1ccnc2ccccc12,5.67
Nc1ccc(Cl)c([N+](=O)[O-])c1,1.93
CC(C)NCC(O)c1cccc(F)c1,9.46
Nc1cnc(Cl)cc1Cl,0.73
CNc1ncnc(N)c1N,5.9
CCCN(C)C1CCc2ccccc2C1,9.83
NC(=O)[C@@H](N)Cc1ccccc1,7.22
CN(C)Cc1ccc(Cl)cc1,8.83
Cn1cnc2cncnc21,2.27
Cc1cnc(C)s1,3.91
CNc1c(C)nc(SC)nc1N,5.36
CNCc1ccc(OC)cc1,9.97
NCC(=O)N1CCC[C@H]1C(=O)O,2.89
COc1cccnc1,4.86
CCOP(=O)(OCC)SCCN(C)C,7.73
c1cnc2c(n1)CNCN2,5.62
CN(N)c1ccc(Br)cc1,4.62
CSCCN,9.41
C#CCc1c(C)nc(N)nc1C,4.49
Clc1c[nH]nc1-c1ccccc1,0.26
CNc1ccnc(O)n1,4.53
Cc1cnc2[nH]ccc2c1,4.86
Cc1cnc2ccccc2c1,5.17
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,8.75
Cc1nc(C)c(C)c(N)c1C,10.39
C[C@H]1CCN[C@@H](C(=O)O)C1,2.27
Cc1ccnn1-c1ccc([N+](=O)[O-])cc1,0.62
c1cncc(CNCc2cccnc2)c1,7.15
NNc1cccc2cccnc12,5.27
NC1=NC2=C(CCCC2)C(C(=O)O)N1,2.71
CN(N)c1ccccc1Br,4.68
CC(N)C(N)=NO,9.15
Nc1nc(N)c(Cl)c(N)n1,5.15
Nc1ccc(C(=O)c2ccccc2)cc1,2.1740000000000004
CNc1nccc(O)n1,3.9
O=[N+]([O-])c1cccc2[nH]cnc12,3.33
Nc1nc(O)nc2nccnc12,2.95
CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCOCC1,6.05
CN(C)c1nccc(O)n1,3.65
COc1ccc2nccc(N)c2c1,8.93
Cc1nc(N)nc2nccnc12,2.81
COc1ncnc2nc[nH]c12,2.17
c1cnc2c(c1)ccc1cccnc12,4.9159999999999995
CNc1ncc(-c2ccc(OC)cc2)cn1,3.54
Cn1c(N)nncc1=O,3.95
c1cn[nH]c1,2.52
C=CCc1c(C)nc(NC)nc1C,5.31
Nc1nc(N)c(Br)c(N)n1,5.17
CCN(CC)CCCNC(=O)c1cc(C)cc(C)c1,9.834
CN(c1ccccc1)C(C)(C)C,7.39
CC(=O)NCC(=O)NC(Cc1cn(Cc2ccccc2)cn1)C(=O)NCC(=O)O,3.3
Cn1cnc2cc(N)ccc21,6.31
Cc1nc2cnc(N)nc2nc1C,3.39
CCn1cccnc1=N,10.92
Cn1c(S)nc2cnccc21,5.03
CC(C)NCc1ccccc1,9.69
CC(O)C(N)C(=O)O,2.32
Cn1cc(N)ccc1=O,3.8
COC(=O)C(N)Cc1ccccc1,7.0
CC1=Nc2ccccc2CN1,10.14
CCC1(c2ccccc2)C(=O)N(CCN2CCOCC2)C(=O)N=C1O,5.44
Cc1cccc(CCO)n1,6.1
O=[N+]([O-])c1cccc2ccncc12,3.55
NCCc1ccccc1,9.86
COc1ccc2ccccc2n1,3.16
CSc1nc2cnc(Cl)cc2[nH]1,2.32
CC(C)NCC(O)c1ccc(F)cc1,9.35
CCC1(CC)C(=O)N(C(C)CN2CCOCC2)C(=O)N=C1O,5.94
