dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,1000,,2,5,0.5,0.7810277866337437,1.0971273410408244,0.8637399178762969,1.3383036550128853,1.7462949046775031,0.5684706176410874
scaffold,500,20.0,10,3,0.3,0.7801859918428723,1.0864415244021048,0.866381287513099,1.3387226610579823,1.7215119959890715,0.5806319842673406
scaffold,200,30.0,5,5,0.5,0.7915801262268505,1.1115368445327747,0.8601371749363745,1.3398245473026398,1.7515430656797224,0.5658729592634966
scaffold,200,30.0,2,5,0.5,0.7915801262268504,1.1115368445327747,0.8601371749363745,1.33982454730264,1.7515430656797224,0.5658729592634966
scaffold,200,30.0,10,5,0.5,0.7915801262268505,1.1115368445327747,0.8601371749363745,1.3398245473026402,1.7515430656797224,0.5658729592634966
scaffold,500,20.0,2,3,0.3,0.7457373200552601,1.0451473344623348,0.8763455913762236,1.3415905994848758,1.7266481787494465,0.5781258571347897
scaffold,500,20.0,5,3,0.3,0.7457373200552602,1.0451473344623348,0.8763455913762236,1.3415905994848758,1.7266481787494465,0.5781258571347897
scaffold,200,,2,5,0.5,0.7839754146213057,1.1033413683028739,0.8621920177995984,1.3430658601376306,1.754146724369141,0.5645813452916013
scaffold,200,,5,5,0.5,0.7839754146213057,1.1033413683028739,0.8621920177995984,1.3430658601376309,1.754146724369141,0.5645813452916013
scaffold,200,,10,5,0.5,0.7839754146213057,1.1033413683028739,0.8621920177995984,1.3430658601376309,1.754146724369141,0.5645813452916013
scaffold,200,20.0,2,3,0.3,0.7468693615763332,1.04612673267735,0.8761137319106934,1.3437818200149947,1.7259479038370227,0.5784679858601374
scaffold,200,20.0,5,3,0.3,0.7468693615763333,1.04612673267735,0.8761137319106934,1.3437818200149947,1.7259479038370227,0.5784679858601374
scaffold,500,20.0,10,5,0.5,0.8342581381615775,1.1605921652925066,0.8475196643819096,1.3477386805473828,1.7572059351478817,0.5630612911799786
scaffold,500,20.0,5,5,0.5,0.8342581381615775,1.1605921652925066,0.8475196643819096,1.3477386805473828,1.757205935147882,0.5630612911799786
scaffold,500,20.0,2,5,0.5,0.8342581381615775,1.1605921652925066,0.8475196643819096,1.347738680547383,1.757205935147882,0.5630612911799786
